id,date,confirmed,country,stringency_index
"AUS, Australian Capital Territory",22/1/20,0,Australia,0
"AUS, Australian Capital Territory",23/1/20,0,Australia,0
"AUS, Australian Capital Territory",24/1/20,0,Australia,0
"AUS, Australian Capital Territory",25/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",26/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",27/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",28/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",29/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",30/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",31/1/20,0,Australia,7.14
"AUS, Australian Capital Territory",1/2/20,0,Australia,21.43
"AUS, Australian Capital Territory",2/2/20,0,Australia,21.43
"AUS, Australian Capital Territory",3/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",4/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",5/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",6/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",7/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",8/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",9/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",10/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",11/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",12/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",13/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",14/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",15/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",16/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",17/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",18/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",19/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",20/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",21/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",22/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",23/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",24/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",25/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",26/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",27/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",28/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",29/2/20,0,Australia,28.57
"AUS, Australian Capital Territory",1/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",2/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",3/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",4/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",5/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",6/3/20,0,Australia,28.57
"AUS, Australian Capital Territory",7/3/20,0,Australia,28.57
